"Storage type","Manure type","MTC type","n","Mean","Std. dev.","CV","Log mean","Log std. dev."
"Lagoon","Cattle","a",7,4.97,1.84,37.1,0.668,0.176
"Lagoon","Cattle","b",7,10.6,4.87,45.7,0.989,0.197
"Lagoon","Cattle","c",7,756,725,95.9,2.72,0.389
"Lagoon","Cattle","d",7,2290,2610,114,3.12,0.476
"Lagoon","Pig","a",6,3.36,0.735,21.9,0.518,0.0918
"Lagoon","Pig","b",6,4.15,0.938,22.6,0.609,0.0967
"Lagoon","Pig","c",6,286,17.4,6.1,2.46,0.0265
"Lagoon","Pig","d",6,479,32.7,6.83,2.68,0.0291
"Tank","Cattle","a",12,0.685,1.06,155,-0.439,0.495
"Tank","Cattle","b",12,1.22,0.998,82,-0.0479,0.405
"Tank","Cattle","c",12,355,270,76.2,2.36,0.496
"Tank","Cattle","d",12,954,734,76.9,2.75,0.575
"Tank","Pig","a",15,0.935,1.2,128,-0.295,0.478
"Tank","Pig","b",15,1.6,1.91,119,-0.0396,0.474
"Tank","Pig","c",15,320,472,147,2.24,0.472
"Tank","Pig","d",15,771,881,114,2.65,0.481
